url	smartphone
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"iPhone 6s Plus 32GB Cinza Tela Retina HD 5,5"" 3D Touch Câmera 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A50 64GB Dual Chip Android 9.0 Tela 6,4"" Octa-Core 4G Câmera Tripla 25MP + 5MP + 8MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy S10e 128GB Dual Chip Android 9.0 Tela 5,8"" Octa-Core 4G Câmera 12MP + 16MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Câmera 12 + 5MP (Dual Traseira) - Ônix"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy A7 128GB Dual Chip Android 8.0 Tela 6"" Octa-Core 2.2GHz 4G Câmera Triple - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP - Ultravioleta"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Câmera 12 + 5MP (Dual Traseira)- Branco Polar"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	"iPhone X Prata 64GB Tela 5.8"" IOS 11 4G Wi-Fi Câmera 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2	Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1” Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Branco
